"Player","Team","GamesPlayed","Minutes","Points","ThreesMade","Season"
"Shai Gilgeous-Alexander","OKC","76","34.2","32.7","2.1","2024-25"
"Giannis Antetokounmpo","MIL","67","34.2","30.4","0.2","2024-25"
"Nikola Jokić","DEN","70","36.7","29.6","2","2024-25"
"Anthony Edwards","MIN","79","36.3","27.6","4.1","2024-25"
"Jayson Tatum","BOS","72","36.4","26.8","3.5","2024-25"
"Kevin Durant","PHX","62","36.5","26.6","2.6","2024-25"
"Cade Cunningham","DET","70","35","26.1","2.1","2024-25"
"Jalen Brunson","NYK","65","35.4","26","2.3","2024-25"
"Devin Booker","PHX","75","37.3","25.6","2.4","2024-25"
"Damian Lillard","MIL","58","36.1","24.9","3.4","2024-25"
"Stephen Curry","GSW","70","32.2","24.5","4.4","2024-25"
"Karl-Anthony Towns","NYK","72","35","24.4","2","2024-25"
"LeBron James","LAL","70","34.9","24.4","2.1","2024-25"
"Trae Young","ATL","76","36","24.2","2.9","2024-25"
"Franz Wagner","ORL","60","33.7","24.2","1.7","2024-25"
"Donovan Mitchell","CLE","71","31.4","24","3.3","2024-25"
"Tyler Herro","MIA","77","35.4","23.9","3.3","2024-25"
"De'Aaron Fox","SAS","62","36.1","23.5","1.9","2024-25"
"Zach LaVine","SAC","74","35.2","23.3","3.2","2024-25"
"James Harden","LAC","79","35.3","22.8","3","2024-25"
"DeMar DeRozan","SAC","77","35.9","22.2","1.1","2024-25"
"Jaylen Brown","BOS","63","34.3","22.2","1.8","2024-25"
"Jaren Jackson Jr.","MEM","74","29.8","22.2","2","2024-25"
"Norman Powell","LAC","60","32.6","21.8","3","2024-25"
"Jalen Williams","OKC","69","32.4","21.6","1.8","2024-25"
"Jamal Murray","DEN","67","36.1","21.4","2.3","2024-25"
"RJ Barrett","TOR","58","32.2","21.1","1.8","2024-25"
"Jalen Green","HOU","82","32.9","21","2.9","2024-25"
"Darius Garland","CLE","75","30.7","20.6","2.8","2024-25"
"Jordan Poole","WAS","68","29.4","20.5","3.5","2024-25"
"Coby White","CHI","74","33.1","20.4","2.9","2024-25"
"Miles Bridges","CHA","64","31.7","20.3","2.2","2024-25"
"Pascal Siakam","IND","78","32.7","20.2","1.6","2024-25"
"Austin Reaves","LAL","73","34.9","20.2","2.7","2024-25"
"Scottie Barnes","TOR","65","32.8","19.3","1.2","2024-25"
"Anfernee Simons","POR","70","32.7","19.3","3.1","2024-25"
"Desmond Bane","ORL","69","32","19.2","2.4","2024-25"
"Domantas Sabonis","SAC","70","34.7","19.1","0.9","2024-25"
"Alperen Sengun","HOU","76","31.5","19.1","0.3","2024-25"
"Julius Randle","MIN","69","32.3","18.7","1.6","2024-25"
"Tyrese Haliburton","IND","73","33.6","18.6","3","2024-25"
"Shaedon Sharpe","POR","72","31.3","18.5","2","2024-25"
"Evan Mobley","CLE","71","30.5","18.5","1.2","2024-25"
"Nikola Vučević","CHI","73","31.2","18.5","1.8","2024-25"
"Collin Sexton","UTA","63","27.9","18.4","1.7","2024-25"
"Michael Porter Jr.","DEN","77","33.7","18.2","2.5","2024-25"
"Bam Adebayo","MIA","78","34.3","18.1","1","2024-25"
"OG Anunoby","NYK","74","36.6","18","2.3","2024-25"
"Andrew Wiggins","MIA","60","30.7","18","2.2","2024-25"
"Mikal Bridges","NYK","82","37","17.6","2","2024-25"
