Season,Team,TotalTeamPoints
2014-15,ATL,101.2
2014-15,BKN,95.8
2014-15,BOS,105.7
2014-15,CHA,98.2
2014-15,CHI,98.9
2014-15,CLE,110.1
2014-15,DAL,116.6
2014-15,DEN,90.3
2014-15,DET,93.1
2014-15,GSW,109.1
2014-15,HOU,97.8
2014-15,IND,80.8
2014-15,LAC,115.3
2014-15,LAL,85.7
2014-15,MEM,110.4
2014-15,MIA,76.5
2014-15,MIL,97.9
2014-15,MIN,43.5
2014-15,NOP,106.0
2014-15,NYK,44.2
2014-15,OKC,111.10000000000001
2014-15,ORL,86.2
2014-15,PHI,61.6
2014-15,PHX,94.3
2014-15,POR,112.3
2014-15,SAC,104.0
2014-15,SAS,102.0
2014-15,TOR,113.5
2014-15,UTA,73.5
2014-15,WAS,102.6
2015-16,ATL,95.7
2015-16,BKN,79.1
2015-16,BOS,109.3
2015-16,CHA,93.8
2015-16,CHI,110.5
2015-16,CLE,86.9
2015-16,DAL,106.1
2015-16,DEN,90.0
2015-16,DET,102.4
2015-16,GSW,117.9
2015-16,HOU,85.4
2015-16,IND,113.4
2015-16,LAC,107.4
2015-16,LAL,91.5
2015-16,MEM,62.2
2015-16,MIA,97.4
2015-16,MIL,75.7
2015-16,MIN,91.7
2015-16,NOP,87.4
2015-16,NYK,107.2
2015-16,OKC,116.6
2015-16,ORL,97.6
2015-16,PHI,81.6
2015-16,PHX,68.1
2015-16,POR,109.10000000000001
2015-16,SAC,118.8
2015-16,SAS,103.0
2015-16,TOR,97.0
2015-16,UTA,95.3
2015-16,WAS,95.5
2016-17,ATL,112.6
2016-17,BKN,79.1
2016-17,BOS,98.8
2016-17,CHA,100.89999999999999
2016-17,CHI,93.9
2016-17,CLE,122.1
2016-17,DAL,68.6
2016-17,DEN,108.3
2016-17,DET,86.4
2016-17,GSW,130.3
2016-17,HOU,134.9
2016-17,IND,105.8
2016-17,LAC,115.9
2016-17,LAL,83.39999999999999
2016-17,MEM,100.9
2016-17,MIA,90.8
2016-17,MIL,78.2
2016-17,MIN,94.9
2016-17,NOP,100.7
2016-17,NYK,97.8
2016-17,OKC,119.8
2016-17,ORL,100.8
2016-17,PHI,72.6
2016-17,PHX,95.2
2016-17,POR,108.4
2016-17,SAC,87.7
